"","rule.id","a.rule","p.rule","qk","qK","tk","tK","AHRk.H1","AHRK.H1","gk","H0.pr.S","H1.pr.S","H0.cpk","H1.cpk","H1.pow.nbind","H1.pow.bind","H1.powloss","H0.AE","H1.AE","H0.AN","H1.AN","H0.AL","H1.AL"
"tmp.79",81,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.6,0.429372513143638,0.0435114274859487,0.6,0.6,0.900085213430627,0.875847158868163,0.0242380545624638,355.315134326122,492.527336385997,520.1527620082,664.484225758899,46.8829769171076,63.2991234084484
"tmp.80",82,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.65,0.509422427622857,0.0655570562822123,0.65,0.65,0.900085213430627,0.860749961949953,0.0393352514806746,326.849384737312,484.687910786045,490.351698038597,656.622957600864,44.1149906129938,62.4978879519042
"tmp.81",83,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.7,0.593310435613825,0.0972683347255272,0.7,0.7,0.900085213430627,0.8375623833842,0.0625228300464271,297.018809095724,473.411380171603,459.121784694087,645.315007812683,41.214289735185,61.345360124463
"tmp.82",84,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.75,0.679153889620825,0.14275807907359,0.75,0.75,0.900085213430627,0.802234812222013,0.0978504012086147,266.492876850835,457.235227081431,427.163895908354,629.093784001584,38.2459729476526,59.6920620299683
"tmp.83",85,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.8,0.764431913741859,0.208191572875258,0.8,0.8,0.900085213430627,0.748517276242271,0.151567937188356,236.168011473395,433.967076685558,395.416505938411,605.760802844829,35.2972077385381,57.3139200516207
"tmp.84",86,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.85,0.845711423952634,0.303230527586682,0.85,0.85,0.900085213430627,0.666389385993943,0.233695827436684,207.265017642444,400.171224390176,365.157686813275,571.87078703487,32.4867041604624,53.8597849497631
"tmp.85",87,0,0,0.35,1,31.4509985793538,64.880520736181,0.77542898344507,0.750000735721012,0.05,0.00637612007007607,0.0000141761174649168,0.05,0.05,0.900085213430627,0.9000844735173,0.000000739913326830433,505.894605152861,507.995319046013,677.826863812633,679.99541324136,61.5271513454991,64.8800468353481
"tmp.86",88,0,0,0.35,1,31.4509985793538,64.880520736181,0.77542898344507,0.750000735721012,0.1,0.0229932479654083,0.000111592376307713,0.0999999999999999,0.0999999999999999,0.900085213430627,0.900073989680953,0.0000112237496738832,500.407629521822,507.963152197343,672.163344060406,679.96389368969,60.9986825647975,64.8767902563647
"tmp.87",89,0,0,0.35,1,31.4509985793538,64.880520736181,0.77542898344507,0.750000735721012,0.15,0.0483087949566487,0.000393714932115893,0.15,0.15,0.900085213430627,0.900027164405015,0.0000580490256126831,492.048435905315,507.869995329415,663.535192352937,679.872611427562,60.1935809650792,64.8673590341344
"tmp.88",90,0,0,0.35,1,31.4509985793538,64.880520736181,0.77542898344507,0.750000735721012,0.2,0.0813582633960804,0.000995097056044565,0.2,0.2,0.900085213430627,0.899892868632673,0.000192344797953714,481.135501426614,507.671418952094,652.271132854429,679.678031024311,59.1425201320017,64.8472551170978
"tmp.89",91,0,0,0.35,1,31.4509985793538,64.880520736181,0.77542898344507,0.750000735721012,0.25,0.121356712155412,0.00209210293013287,0.25,0.25,0.900085213430627,0.899586473554348,0.00049873987627902,467.928013646283,507.30918761247,638.638692517338,679.323088905389,57.8704632772345,64.8105827349238
"tmp.90",92,0,0,0.35,1,31.4509985793538,64.880520736181,0.77542898344507,0.750000735721012,0.3,0.167599611381885,0.0039140823729995,0.3,0.3,0.900085213430627,0.898977948030077,0.00110726540055039,452.658608321701,506.707570000436,622.877992183379,678.733577710091,56.3998163204167,64.7496748327692
