"","S","rule","N","B","L","nEvents","tk","tK","AHRk.H1","AHRK.H1","H0.AE","H0.AN","H0.AL","H0AER","H0.ANR","H0ALR","qk","cpk","ahrk","etak","ppk","pr.S","pow.nbind","pow.bind","powloss"
"13","NPH(3,1,0.6938)","CP1AE.PH(0.75)",680,34,47.3436366162301,508,24.7247586259867,47.3424520723639,0.787667079747624,0.750003086505301,299.748514110242,532.05582492383,29.3868485120102,0.590056130138272,0.782435036652692,0.620713798355236,0.42,0.64,0.928213251747767,-0.544059616664899,0.114124400505908,0.706799775623669,0.900079018096732,0.83143473125311,0.068644286843622
"14","NPH(3,1,0.6938)","CP1AE.NPH(3,1.0,0.6938)",680,34,47.3436366162301,508,26.4981610739678,47.3424520723639,0.783851771201531,0.750003086505301,336.282004874031,567.95053508824,31.8368809640132,0.661972450539431,0.835221375129765,0.672463782663858,0.47,0.5,0.955393194489519,-0.352551981892715,0.0650516843609548,0.637787829170885,0.900079018096732,0.870373824803065,0.0297051932936664
"15","NPH(3,1,0.6938)","CP1AE.NPH(3,1.3,0.6295)",680,34,47.3436366162301,508,29.2271997442755,47.3424520723639,0.778864911925947,0.750003086505301,373.164341144568,606.967082381899,34.2430660955033,0.734575474694031,0.892598650561616,0.723287616730403,0.55,0.31,0.973191508901432,-0.227113556269014,0.0276992118758949,0.589832278457708,0.900079018096732,0.890774241100686,0.00930477699604548
"16","NPH(3,1,0.6938)","CP1AE.NPH(6,1.0,0.623)",680,34,47.3436366162301,508,28.8924227293967,47.3424520723639,0.779426516391905,0.750003086505301,367.45788055517,601.700747374125,33.8696259329355,0.723342284557421,0.884854040256067,0.715399752821786,0.54,0.34,0.96943702113982,-0.257049750530903,0.0325143295198597,0.60142981617952,0.900079018096732,0.888610688635459,0.0114683294612726
"17","NPH(3,1.3,0.6295)","Wieand1",680,34,47.8338497615028,508,27.369701929799,47.8323266598184,0.822183761051352,0.750005513108437,381,602.009649080266,34.8481890296456,0.75,0.885308307470979,0.72852570310349,0.5,0.315841712736934,1,0,0.025,0.5,0.900072622673464,0.874075286563616,0.0259973361098476
"18","NPH(3,1.3,0.6295)","KF1",680,34,47.8338497615028,508,27.369701929799,47.8323266598184,0.822183761051352,0.750005513108437,381,602.009649080266,34.8481890296456,0.75,0.885308307470979,0.72852570310349,0.5,0.315841712736934,1,0,0.025,0.5,0.900072622673464,0.874075286563616,0.0259973361098476
"19","NPH(3,1.3,0.6295)","OF1",680,34,47.8338497615028,508,21.2550206654889,47.8323266598184,0.854902280930735,0.750005513108437,337.180503662426,543.541783583454,31.8831272555863,0.663741148941783,0.799326152328609,0.666539018175496,0.333333333333333,0.600412247991091,0.998310787114205,-0.011,0.0840822487625472,0.504388276587326,0.900072622673464,0.793561180391603,0.106511442281861
"20","NPH(3,1.3,0.6295)","Xi1",680,34,47.8338497615028,508,23.7921068692349,47.8323266598184,0.839368794584651,0.750005513108437,298.318006182421,526.53442939225,29.2899260851854,0.587240169650434,0.774315337341544,0.612326338591259,0.4,0.648410483948146,0.933561293918785,-0.49,0.115026844764184,0.687933050582609,0.900072622673464,0.742309665921243,0.157762956752221
"21","NPH(3,1.3,0.6295)","CP1AE.PH(0.75)",680,34,47.8338497615028,508,24.5270500704094,47.8323266598184,0.835443559597202,0.750005513108437,299.748514110242,532.055966866338,29.3868556098136,0.590056130138272,0.782435245391674,0.614352717925381,0.42,0.64,0.928213251747767,-0.544059616664899,0.114124400505908,0.706799775623669,0.900072622673464,0.746511179653974,0.15356144301949
"22","NPH(3,1.3,0.6295)","CP1AE.NPH(3,1.0,0.6938)",680,34,47.8338497615028,508,26.3204065786992,47.8323266598184,0.826758086385342,0.750005513108437,336.282004874031,567.950551899391,31.8368818054084,0.661972450539431,0.835221399852045,0.66557222477692,0.47,0.5,0.955393194489519,-0.352551981892715,0.0650516843609548,0.637787829170885,0.900072622673464,0.822089160021567,0.0779834626518966
