"","rule.id","a.rule","p.rule","qk","qK","tk","tK","AHRk.H1","AHRK.H1","gk","H0.pr.S","H1.pr.S","H0.cpk","H1.cpk","H1.pow.nbind","H1.pow.bind","H1.powloss","H0.AE","H1.AE","H0.AN","H1.AN","H0.AL","H1.AL"
"tmp.146",148,1,1,0.5,1,39.6439156850685,64.880520736181,0.766105473461402,0.750000735721012,0.55,0.72741718205177,0.064491966929067,0.55,0.55,0.900085213430627,0.870963115947228,0.0291220974833994,323.23603575885,491.619040400017,496.738029618025,665.121555613636,44.3013750345805,63.2529624378227
"tmp.157",159,1,1,0.55,1,42.2467285745098,64.880520736181,0.763910938643155,0.750000735721012,0.25,0.526123247657925,0.0144365077446627,0.25,0.25,0.900085213430627,0.897203048129215,0.00288216530141239,387.728225585398,504.69981432957,562.383482172063,677.095320608492,50.4418450407559,64.5537678203479
"tmp.158",160,1,1,0.55,1,42.2467285745098,64.880520736181,0.763910938643155,0.750000735721012,0.3,0.57976368273981,0.0202088149996235,0.3,0.3,0.900085213430627,0.895268314209,0.00481689922162698,375.466022125679,503.380264891086,550.391993072899,675.933910784074,49.2909783348372,64.4231186176459
"tmp.159",161,1,1,0.55,1,42.2467285745098,64.880520736181,0.763910938643155,0.750000735721012,0.35,0.628200695769493,0.027199077446287,0.35,0.35,0.900085213430627,0.892549166397996,0.00753604703263111,364.393320947094,501.782290895779,539.563745448605,674.527443816496,48.2517521327209,64.2649024702725
"tmp.160",162,1,1,0.55,1,42.2467285745098,64.880520736181,0.763910938643155,0.750000735721012,0.4,0.672369664257348,0.0355938599950077,0.4,0.4,0.900085213430627,0.888842288817175,0.0112429246134521,354.29629475077,499.863243605141,529.68963269514,672.838382147514,47.3040977151189,64.0748967068224
"tmp.161",163,1,1,0.55,1,42.2467285745098,64.880520736181,0.763910938643155,0.750000735721012,0.45,0.712929081254365,0.0456306076998986,0.45,0.45,0.900085213430627,0.883894210476557,0.0161910029540698,345.024412025252,497.568843079803,520.622446606032,670.818950943528,46.4338869764833,63.8477270452907
"tmp.162",164,1,1,0.55,1,42.2467285745098,64.880520736181,0.763910938643155,0.750000735721012,0.5,0.750361275268786,0.0576147168499969,0.5,0.5,0.900085213430627,0.877382869311968,0.0227023441186593,336.467412473556,494.829275728091,512.254361116112,668.407703328138,45.6307714582195,63.5764812095446
"tmp.172",174,1,1,0.6,1,44.8034925971811,64.880520736181,0.762011353430225,0.750000735721012,0.15,0.503945613771899,0.00907193541990621,0.15,0.15,0.900085213430627,0.899046354545825,0.00103885888480237,405.59825128155,506.156582722675,581.423259614159,678.437567017313,52.1601911328755,64.6983832334803
"tmp.173",175,1,1,0.6,1,44.8034925971811,64.880520736181,0.762011353430225,0.750000735721012,0.2,0.567083512387313,0.0137760516023296,0.2,0.2,0.900085213430627,0.897997344389108,0.00208786904151903,392.768630282898,505.200706314407,569.072862924058,677.627390804894,50.9612261735566,64.6039385605167
"tmp.174",176,1,1,0.6,1,44.8034925971811,64.880520736181,0.762011353430225,0.750000735721012,0.25,0.619975366457908,0.0193603325597633,0.25,0.25,0.900085213430627,0.896434950488346,0.00365026294228143,382.021005535753,504.065980423856,558.726693764616,676.665626379925,49.9568297483552,64.4918227945982
